year	area	seas	datetime	check	transect	station	trapnum	Nindnum	sex	status	weight	species	marked	note
Z19	PORSANGER	FALL	110919	2	MASOY	G2	3C	FB8F4	M	A	30	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G2	3D	FB9B9	M	A	28	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	110919	2	MASOY	G2	3D	FA88A	F	NP	27	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G2	3D	FAAD3	F	NP	28	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G2	4B	FBB89	F	NP	22	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	110919	2	MASOY	G2	4B	FBB25	F	PL	41	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	110919	2	MASOY	G2	4C	FAA16	F	NP	15	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G2	4C	FAB4D	M	A	15	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G2	4D	63A42	M	A	22	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G2	4D	5E485	M	A	27	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G2	4D	FA98F	M	A	25	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G2	1C	FA9C4	M	A	28	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	110919	2	MASOY	G2	1D	5E5A2	M	A	23	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G2	1A	FBB14	F	NP	21	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	110919	2	MASOY	G1	3B	FB833	M	S	41	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	110919	2	MASOY	G1	3A	FA9E4	M	A	31	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G1	2C	64C46	F	NP	26	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G1	2B	FA8E0	F	NP	28	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G1	2A	FB888	F	PL	40	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	110919	2	MASOY	G1	2D	67705	F	NP	23	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G1	2D	62BCD	M	A	25	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G1	1B	FB829	M	A	27	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	110919	2	MASOY	G1	1D	FABA0	M	A	30	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G1	1D	FBB52	F	NP	28	GRAASIDEMUS		
Z19	PORSANGER	SPRING	170619	1	MASOY	G1	4B	B71F	F	L,P	33	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G1	1C	B597	M	S	47	GRAASIDEMUS	N	
