year	area	seas	datetime	check	transect	station	trapnum	indnum_old	Nindnum	sex	status	weight	species	marked	note
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G04	1B	NA	0007D2B744	F	O	40	FJELLROTTE	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G04	2D	NA	0007D6076E	F	C,L	46	FJELLROTTE	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G04	2A	NA	0007D6145A	F	C	45	FJELLROTTE	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G04	2A	NA	0007D6011F	M	S	23	ROEDMUS	R	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G04	2C	NA	0007D31A37	F	C	45	FJELLROTTE	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G04	3A	NA	0007D30977	F	O	43	FJELLROTTE	R	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G04	3A	NA	0007D2D705	M	S	23	FJELLROTTE	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G02	3D	NA	0007D607DA	F	C,L	35	GRAASIDEMUS	R	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G02	2D	NA	UNM019	M	A	<12	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G02	2A	NA	0007D5FEF1	F	O,L	47	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G02	1A	NA	0007D60666	M	S	31	GRAASIDEMUS	R	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G02	1A	NA	0007D2DA8B	M	S	21	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G01	3B	NA	0007D5FFCE	F	O,L	37	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G01	2D	NA	0007D3C35F	M	S	35	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G01	1B	NA	0007DFA8C0	M	S	30	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G01	1A	NA	0007D60397	F	O	36	GRAASIDEMUS	R	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G20	1A	NA	0007D3C69E	M	S	38	GRAASIDEMUS	R	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G19	4C	NA	UNM020	F	NP	11	GRAASIDEMUS	N	NO PITTAG
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G19	4A	NA	0007D3D9AA	F	C,L	51	GRAASIDEMUS	R	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G19	4A	NA	UNM021	F	NP	11	GRAASIDEMUS	N	NO PITTAG
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G19	1C	NA	UNM022	F	NP	10	GRAASIDEMUS	N	NO PITTAG
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G19	1C	NA	UNM023	F	NP	10	GRAASIDEMUS	N	NO PITTAG
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G19	1C	NA	UNM024	M	A	11	GRAASIDEMUS	N	NO PITTAG
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G16	1D	NA	0007D30CDD	M	S	42	GRAASIDEMUS	R	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G16	1A	NA	0007D2B7E2	M	S	30	ROEDMUS	R	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G15	4D	NA	0007D2CD93	F	O	19	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G15	4B	NA	0007D6075F	M	S	21	GRAASIDEMUS	R	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G15	4A	NA	0007D3913A	M	A/S	14	ROEDMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G15	4A	NA	NA	NA	NA	NA	GRAASIDEMUS	NA	ESCAPED DURING HANDLING
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G11	3A	NA	0007D60848	M	A	19	GRAASIDEMUS	R	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G11	2C	NA	0007D30847	M	S	49	GRAASIDEMUS	R	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G11	2D	NA	0007D2C800	F	O,L	46	GRAASIDEMUS	R	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G11	1A	NA	0007D32699	M	S	24	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G08	3C	NA	0007D60CD0	M	S	33	ROEDMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G08	3D	NA	0007D60145	M	A	21	FJELLROTTE	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G08	3D	NA	0007D2D1BC	F	O	36	FJELLROTTE	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G08	4C	NA	0007D2B863	F	C	48	FJELLROTTE	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G08	4D	NA	UNM025	M	A	<12	GRAASIDEMUS	N	NO PITTAG
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G08	4A	NA	UNM026	F	NP	<12	GRAASIDEMUS	N	NO PITTAG
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G06	2B	NA	0007D326CC	F	O	21	ROEDMUS	R	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G06	1D	NA	UNM027	M	A	<12	GRAASIDEMUS	N	NO PITTAG
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G06	1D	NA	UNM028	M	A	<12	GRAASIDEMUS	N	NO PITTAG
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G06	1D	NA	UNM029	M	A	<12	GRAASIDEMUS	N	NO PITTAG
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G06	1D	NA	UNM030	F	NP	<12	GRAASIDEMUS	N	NO PITTAG
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G06	4B	NA	0007D5FFDD	M	S	29	ROEDMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G04	1C	NA	0007D2E1AE	M	S	31	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G04	4D	NA	0007D39BD1	F	O,L	36	FJELLROTTE	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G04	4C	NA	0007D6080F	F	O	26	FJELLROTTE	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G04	4C	NA	0007D60725	M	A	22	FJELLROTTE	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G04	4B	NA	0007D3A965	M	S	27	ROEDMUS	R	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G04	4B	NA	0007D612CD	M	S	40	FJELLROTTE	R	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G04	3D	NA	0007D3197E	M	S	19	ROEDMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G04	3B	NA	0007D60873	F	C,L	46	FJELLROTTE	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G02	3B	NA	0007D3CC12	M	S	25	GRAASIDEMUS	R	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G02	3B	NA	0007D39E3E	M	S	26	GRAASIDEMUS	R	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G02	3C	NA	0007D604DF	F	O	16	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G02	4B	NA	0007D3085C	M	S	54	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G02	4B	NA	0007D613CF	F	O	16	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G02	4C	NA	0007D30D57	M	S	41	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G02	4A	NA	0007D60E2D	M	S	34	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G01	4B	NA	0007D3DC13	M	A/S	21	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G01	4C	NA	0007D2C1DA	F	O,L	45	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G01	4A	NA	0007D60FC6	M	S	21	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G01	4A	NA	0007D2C973	M	A/S	24	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G01	1D	NA	0007DFA979	M	S	46	GRAASIDEMUS	N	
