"";"year";"area";"seas";"datetime";"check";"transect";"station";"trapnum";"Nindnum";"sex";"status";"weight";"species";"marked";"note"
"121";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G15";"4D";"0007D2CD93";"F";"O";19;"GRAASIDEMUS";"N";NA
"122";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G15";"4B";"0007D6075F";"M";"S";21;"GRAASIDEMUS";"R";NA
"123";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G15";"4A";"0007D3913A";"M";"A/S";14;"ROEDMUS";"N";NA
"124";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G15";"4A";"ESCNA05";NA;NA;NA;"GRAASIDEMUS";NA;"ESCAPED DURING HANDLING"
"125";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G11";"3A";"0007D60848";"M";"A";19;"GRAASIDEMUS";"R";NA
"126";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G11";"2C";"0007D30847";"M";"S";49;"GRAASIDEMUS";"R";NA
"127";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G11";"2D";"0007D2C800";"F";"O,L";46;"GRAASIDEMUS";"R";NA
"128";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G11";"1A";"0007D32699";"M";"S";24;"GRAASIDEMUS";"N";NA
"129";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G8";"3C";"0007D60CD0";"M";"S";33;"ROEDMUS";"N";NA
"130";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G8";"3D";"0007D60145";"M";"A";21;"FJELLROTTE";"N";NA
"131";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G8";"3D";"0007D2D1BC";"F";"O";36;"FJELLROTTE";"N";NA
"132";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G8";"4C";"0007D2B863";"F";"C";48;"FJELLROTTE";"N";NA
"133";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G8";"4D";"UNM025";"M";"A";11;"GRAASIDEMUS";"N";"NO PITTAG, <12"
"134";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G8";"4A";"UNM026";"F";"NP";11;"GRAASIDEMUS";"N";"NO PITTAG, <12"
"135";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G6";"2B";"0007D326CC";"F";"O";21;"ROEDMUS";"R";NA
"136";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G6";"1D";"UNM027";"M";"A";11;"GRAASIDEMUS";"N";"NO PITTAG, <12"
"137";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G6";"1D";"UNM028";"M";"A";11;"GRAASIDEMUS";"N";"NO PITTAG, <12"
"138";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G6";"1D";"UNM029";"M";"A";11;"GRAASIDEMUS";"N";"NO PITTAG, <12"
"139";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G6";"1D";"UNM030";"F";"NP";11;"GRAASIDEMUS";"N";"NO PITTAG, <12"
"140";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G6";"4B";"0007D5FFDD";"M";"S";29;"ROEDMUS";"N";NA
"141";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G4";"1C";"0007D2E1AE";"M";"S";31;"GRAASIDEMUS";"N";NA
"142";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G4";"4D";"0007D39BD1";"F";"O,L";36;"FJELLROTTE";"N";NA
"143";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G4";"4C";"0007D6080F";"F";"O";26;"FJELLROTTE";"N";NA
"144";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G4";"4C";"0007D60725";"M";"A";22;"FJELLROTTE";"N";NA
"145";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G4";"4B";"0007D3A965";"M";"S";27;"ROEDMUS";"R";NA
"146";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G4";"4B";"0007D612CD";"M";"S";40;"FJELLROTTE";"R";NA
"147";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G4";"3D";"0007D3197E";"M";"S";19;"ROEDMUS";"N";NA
"148";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G4";"3B";"0007D60873";"F";"C,L";46;"FJELLROTTE";"N";NA
"149";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G2";"3B";"0007D3CC12";"M";"S";25;"GRAASIDEMUS";"R";NA
"150";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G2";"3B";"0007D39E3E";"M";"S";26;"GRAASIDEMUS";"R";NA
"151";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G2";"3C";"0007D604DF";"F";"O";16;"GRAASIDEMUS";"N";NA
"152";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G2";"4B";"0007D3085C";"M";"S";54;"GRAASIDEMUS";"N";NA
"153";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G2";"4B";"0007D613CF";"F";"O";16;"GRAASIDEMUS";"N";NA
"154";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G2";"4C";"0007D30D57";"M";"S";41;"GRAASIDEMUS";"N";NA
"155";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G2";"4A";"0007D60E2D";"M";"S";34;"GRAASIDEMUS";"N";NA
"156";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G1";"4B";"0007D3DC13";"M";"A/S";21;"GRAASIDEMUS";"N";NA
"157";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G1";"4C";"0007D2C1DA";"F";"O,L";45;"GRAASIDEMUS";"N";NA
"158";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G1";"4A";"0007D60FC6";"M";"S";21;"GRAASIDEMUS";"N";NA
"159";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G1";"4A";"0007D2C973";"M";"A/S";24;"GRAASIDEMUS";"N";NA
"160";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G1";"1D";"0007DFA979";"M";"S";46;"GRAASIDEMUS";"N";NA
"161";2018;"PORSANGER";"SUMMER";160618;1;"MASOY";"G7";"3B";"0007D60D46";"M";"S";28;"ROEDMUS";"N";NA
"162";2018;"PORSANGER";"SUMMER";160618;1;"MASOY";"G12";"3C";"0007D60EEA";"F";"NP";15;"GRAASIDEMUS";"N";NA
"163";2018;"PORSANGER";"SUMMER";160618;1;"MASOY";"G13";"4A";"0007D6069D";"F";"OP";23;"ROEDMUS";"N";NA
