"";"year";"area";"seas";"datetime";"check";"transect";"station";"trapnum";"indnum_old";"Nindnum";"sex";"status";"weight";"species";"marked";"note"
"70";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G20";"3B";NA;"UNM011";NA;NA;"9";"GRAASIDEMUS";"N";""
"71";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G20";"3B";NA;"UNM012";NA;NA;"10";"GRAASIDEMUS";"N";""
"72";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G20";"2D";NA;"0007D6155B";"M";"A";"19";"ROEDMUS";"N";""
"73";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G16";"2C";NA;"0007D373A8";"M";"S";"20";"ROEDMUS";"N";""
"74";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G16";"2D";NA;"0007D60AEE";"F";"C,L";"42";"GRAASIDEMUS";"R";""
"75";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G15";"3A";NA;"0007D2DFEE";"F";"C";"25";"GRAASIDEMUS";"R";""
"76";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G15";"2D";NA;"0007D613A3";"F";"C";"46";"GRAASIDEMUS";"R";""
"77";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G15";"1C";NA;"UNM013";"F";"NP";"10";"ROEDMUS";"N";""
"78";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G11";"3D";NA;"0007D3A9E8";"F";"O";"35";"GRAASIDEMUS";"R";""
"79";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G11";"3D";NA;"0007D5B816";"M";"S";"46";"GRAASIDEMUS";"N";""
"80";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G11";"4A";NA;"0007D3DAC0";"M";"S";"47";"GRAASIDEMUS";"N";""
"81";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G11";"4A";NA;"UNM014";"F";"NP";"<12";"GRAASIDEMUS";"N";""
"82";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G11";"4A";NA;"UNM015";"M";"A";"<12";"GRAASIDEMUS";"N";""
"83";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G11";"4C";NA;"0007D60A13";"F";"C";"31";"GRAASIDEMUS";"R";""
"84";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G08";"3B";NA;"0007D60CB7";"M";"S";"19";"ROEDMUS";"R";""
"85";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G08";"1B";NA;"0007D36D9A";"F";"O,L";"36";"GRAASIDEMUS";"R";""
"86";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G08";"1C";NA;"UNM016";"M";"A";"<12";"GRAASIDEMUS";"N";""
"87";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G08";"1C";NA;"UNM017";"F";"NP";"<12";"GRAASIDEMUS";"N";""
"88";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G08";"1C";NA;"UNM018";"F";"NP";"<12";"GRAASIDEMUS";"N";""
"89";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G08";"4D";NA;"0007D5FF23";"M";"S";"30";"GRAASIDEMUS";"N";""
"90";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G08";"4C";NA;"0007D5FF44";"M";"S";"29";"GRAASIDEMUS";"N";""
"91";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G08";"4C";NA;"0007D305B9";"M";"S";"31";"GRAASIDEMUS";"N";""
"92";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G06";"3D";NA;"0007D3182C";"F";"C,L";"22";"ROEDMUS";"R";""
"93";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G06";"3C";NA;"0007D39A22";"F";"C";"30";"FJELLROTTE";"N";""
"94";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G06";"4D";NA;"0007D60E9D";"F";"O,L";"31";"ROEDMUS";"R";""
"95";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G06";"4C";NA;NA;NA;NA;NA;"FJELLROTTE";NA;"ESCAPED DURING HANDLING"
"96";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G04";"1B";NA;"0007D3A2CF";"M";"S";"34";"FJELLROTTE";"N";""
"97";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G04";"1B";NA;"0007D2B744";"F";"O";"40";"FJELLROTTE";"N";""
"98";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G04";"2D";NA;"0007D6076E";"F";"C,L";"46";"FJELLROTTE";"N";""
"99";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G04";"2A";NA;"0007D6145A";"F";"C";"45";"FJELLROTTE";"N";""
"100";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G04";"2A";NA;"0007D6011F";"M";"S";"23";"ROEDMUS";"R";""
"101";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G04";"2C";NA;"0007D31A37";"F";"C";"45";"FJELLROTTE";"N";""
"102";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G04";"3A";NA;"0007D30977";"F";"O";"43";"FJELLROTTE";"R";""
"103";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G04";"3A";NA;"0007D2D705";"M";"S";"23";"FJELLROTTE";"N";""
