dato	periode	stasjon 	art	kode	kjønn	vekt	rep	merk	annet
08.09.2019	sept	42	f	5a5	f	45	1		
06.09.2019	sept	42	f	5bc	m	21	1	n	
07.09.2019	sept	41	f	5c6	m	55	1	g	
08.09.2019	sept	40	f	5c6	m	51	1		
07.09.2019	sept	13	f	5d7	f	21	1	g	
08.09.2019	sept	13	f	5d7	f	21	1		
06.09.2019	sept	45	f	5eb	f	22	1	n	
08.09.2019	sept	14	f	5f6	f	21	1	g	
07.09.2019	sept	12	f	5fd	m	25	1	g	
08.09.2019	sept	11	f	5fd	m	23	1		
08.09.2019	sept	4	f	67c	m	23	1	n	
06.09.2019	sept	12	f	69a	m	27	1	n	død
06.09.2019	sept	13	f	6c5	m	24	1	n	
08.09.2019	sept	19	f	6c7	m	22	1	n	
07.09.2019	sept	37	f	6d9	m	50	1	n	
08.09.2019	sept	33	f	6d9	m	48	1		
07.09.2019	sept	43	f	6da	f	38	1	g	
08.09.2019	sept	38	f	6dc	m	24	1	n	
06.09.2019	sept	43	f	6f7	m	23	1	n	
07.09.2019	sept	19	f	74d	f	53	1	g	
06.09.2019	sept	38	f	76b	f	23	1	n	
08.09.2019	sept	38	f	76b	f	22	1		
06.09.2019	sept	5	f	77c	f	35	1	g	
06.09.2019	sept	42	f	78c	f	20	1	n	
06.09.2019	sept	34	f	7a5	m	24	1	n	
06.09.2019	sept	32	f	7a7	f	24	1	n	
06.09.2019	sept	8	f	7ae	m	24	1	n	
06.09.2019	sept	4	f	7bf	f	23	1	g	
06.09.2019	sept	8	f	7d0	m	24	1	g	
07.09.2019	sept	45	f	7ec	f	42	1	g	
07.09.2019	sept	10	f	7f8	m	22	1	n	
07.09.2019	sept	29	f	80b	f	23	1	n	
06.09.2019	sept	17	f	81e	f	41	1	g	
07.09.2019	sept	16	f	81e	f	37	1		
06.09.2019	sept	38	f	f6f	m	26	1	n	
11.10.2019	oct	14	f	499	f	23	1	g	
11.10.2019	oct	28	f	517	f	40	1	g	
13.10.2019	oct	29	f	517	f	38	1		
11.10.2019	oct	33	f	533	f	23	1	g	
12.10.2019	oct	23	f	550	f	23	1	g	
12.10.2019	oct	13	f	581	m	25	1	g	
11.10.2019	oct	23	f	589	m	26	1	g	
13.10.2019	oct	32	f	589	m	26	1		
13.10.2019	oct	11	f	708	m	25	1	g	
13.10.2019	oct	35	f	737	f	23	1	g	
13.10.2019	oct	10	f	761	f	23	1	n	
12.10.2019	oct	5	f	766	m	24	1	n	
12.10.2019	oct	12	f	780	m	26	1	n	
11.10.2019	oct	4	f	784	f	24	1	g	
12.10.2019	oct	4	f	784	f	25	1		
13.10.2019	oct	3	f	784	f	24	1		
11.10.2019	oct	15	f	930	m	23	1	n	
12.10.2019	oct	1	f	2b2	m	24	1	n	
12.10.2019	oct	45	f	2c4	m	25	1	n	
11.10.2019	oct	1	f	45c	f	39	1	g	
12.10.2019	oct	2	f	45c	f	38	1		
13.10.2019	oct	1	f	45c	f	39	1		
11.10.2019	oct	32	f	4a7	f	24	1	g	
13.10.2019	oct	23	f	4b4	f	45	1	g	
13.10.2019	oct	30	f	4c8	f	23	1	g	
11.10.2019	oct	5	f	4df	m	25	1	g	
12.10.2019	oct	36	f	51f	m	41	1	g	
13.10.2019	oct	4	f	52e	f	23	1	n	
11.10.2019	oct	34	f	54d	m	25	1	n	
12.10.2019	oct	22	f	54d	m	23	1	n	
13.10.2019	oct	22	f	54d	m	23	1		
11.10.2019	oct	8	f	58d	f	38	1	n	
13.10.2019	oct	9	f	58d	f	41	1		
11.10.2019	oct	6	f	59d	m	23	1	g	
12.10.2019	oct	7	f	59d	m	23	1		
13.10.2019	oct	6	f	59d	m	23	1		
11.10.2019	oct	3	f	5a0	f	41	1	g	
12.10.2019	oct	3	f	5a0	f	37	1		
13.10.2019	oct	2	f	5a0	f	36	1		
13.10.2019	oct	42	f	5a5	f	42	1	g	
13.10.2019	oct	20	f	5d2	f	45	1	g	
12.10.2019	oct	14	f	5f6	f	25	1	g	
